,ID,Title,Popularity,Release_Date,Vote_Average,Vote_Count
3570,440021,Happy Death Day,17.622,2017-10-12,6.6,2918
3571,83899,You're Next,8.667,2011-09-10,6.6,1206
3572,11635,Old School,12.133,2003-02-21,6.6,862
3573,341012,Popstar: Never Stop Never Stopping,7.174,2016-06-03,6.6,641
3574,76122,Marvel One-Shot: The Consultant,10.956,2011-09-12,6.6,191
3575,50456,Hanna,11.469,2011-04-07,6.6,1874
3576,162215,How I Live Now,5.327,2013-09-10,6.6,428
3577,150,48 Hrs.,9.738,1982-12-07,6.6,607
3578,13090,Sunshine Cleaning,5.84,2008-01-18,6.6,396
3579,10806,In & Out,6.975,1997-09-10,6.6,318
3580,9655,She's the Man,6.268,2006-03-17,6.6,1434
3581,25,Jarhead,9.554,2005-11-04,6.6,1237
3582,10155,U Turn,6.813,1997-10-03,6.6,299
3583,474335,Uncle Drew,10.786,2018-06-27,6.6,201
3584,232679,When the Game Stands Tall,6.505,2014-08-22,6.6,179
3585,9059,Tales from the Crypt: Demon Knight,7.429,1995-01-13,6.6,162
3586,36647,Blade,15.376,1998-08-21,6.6,3010
3587,243684,"Men, Women & Children",7.484,2014-10-17,6.6,504
3588,218425,Frequencies,4.237,2013-09-27,6.6,228
3589,605,The Matrix Revolutions,17.716,2003-11-05,6.6,4915
3590,310131,The Witch,10.629,2016-02-19,6.6,2811
3591,330764,The Brand New Testament,4.308,2015-09-02,6.6,735
3592,6538,Charlie Wilson's War,7.131,2007-12-19,6.6,583
3593,332210,Storks,10.415,2016-09-22,6.6,1263
3594,20760,Lilo & Stitch 2: Stitch has a Glitch,10.503,2005-01-22,6.6,619
3595,352157,Marguerite,6.387,2015-09-16,6.6,156
3596,3595,Ransom,9.434,1996-11-08,6.6,804
3597,5955,The Pledge,5.308,2001-01-09,6.6,381
3598,9687,Keeping Mum,6.361,2005-12-02,6.6,263
3599,9331,Clear and Present Danger,12.474,1994-08-03,6.6,619
3600,27850,Halloweentown,5.931,1998-11-10,6.6,190
3601,8874,My Best Friend's Wedding,7.936,1997-06-19,6.6,1181
3602,401545,Everybody Knows,12.787,2018-05-09,6.6,325
3603,11064,Brewster's Millions,10.119,1985-05-22,6.6,244
3604,398181,You Were Never Really Here,12.833,2017-11-08,6.6,922
3605,10890,Stripes,9.075,1981-06-25,6.6,396
3606,152795,The Congress,6.087,2013-05-16,6.6,258
3607,12227,White Fang,8.519,1991-01-18,6.6,257
3608,14517,MirrorMask,5.251,2005-01-25,6.6,160
3609,4944,Burn After Reading,10.89,2008-09-05,6.6,2171
3610,4349,The Kingdom,9.848,2007-08-22,6.6,758
3611,420426,Bleach,8.254,2018-07-20,6.6,210
3612,14510,From Beyond,6.253,1986-06-05,6.6,181
3613,1487,Hellboy,17.229,2004-04-02,6.6,3815
3614,46195,Rio,11.825,2011-04-03,6.6,3571
3615,301365,The Neon Demon,8.172,2016-06-08,6.6,1921
3616,10176,The Quiet Earth,6.113,1985-09-08,6.6,240
3617,429417,Ghost Stories,11.714,2018-01-20,6.6,501
3618,13763,Purple Rain,6.039,1984-07-27,6.6,152
3619,12155,Alice in Wonderland,20.991,2010-03-03,6.6,8325
3620,8871,How the Grinch Stole Christmas,14.115,2000-11-17,6.6,3446
3621,10072,A Nightmare on Elm Street 3: Dream Warriors,14.492,1987-02-27,6.6,677
3622,8066,Stay,6.592,2005-09-24,6.6,592
3623,166,The Party,7.387,1980-01-01,6.6,529
3624,10952,New Jack City,5.809,1991-03-08,6.6,204
3625,9919,How to Lose a Guy in 10 Days,8.777,2003-02-07,6.6,1705
3626,9489,You've Got Mail,8.552,1998-12-17,6.6,1574
3627,8456,Never Back Down,25.693,2008-03-04,6.6,1050
3628,164457,Out of the Furnace,7.522,2013-12-06,6.6,1045
3629,283350,Before We Go,7.778,2014-09-11,6.6,929
3630,13179,Tinker Bell,11.983,2008-10-27,6.6,653
3631,15356,The Girl Next Door,6.62,2007-07-19,6.6,348
3632,10741,Bobby,6.689,2006-09-05,6.6,189
3633,565,The Ring,11.199,2002-10-18,6.5,3090
3634,443009,"Don't Worry, He Won't Get Far on Foot",9.792,2018-04-04,6.5,174
3635,166426,Pirates of the Caribbean: Dead Men Tell No Tales,23.21,2017-05-23,6.5,6631
3636,4958,The Legend of Bagger Vance,6.838,2000-11-02,6.5,433
3637,48289,The Debt,7.662,2011-06-15,6.5,384
3638,1586,Secret Window,10.375,2004-03-12,6.5,1809
3639,227700,Mindscape,6.844,2013-10-13,6.5,317
3640,39781,The Kids Are All Right,7.928,2010-07-09,6.5,830
3641,790,The Fog,8.17,1980-02-08,6.5,558
3642,12609,Help! I'm A Fish,8.78,2000-10-06,6.5,152
3643,241259,Alice Through the Looking Glass,15.534,2016-05-25,6.5,3626
3644,179826,Odd Thomas,9.973,2013-04-16,6.5,528
3645,45610,Machine Gun Preacher,7.724,2011-09-23,6.5,455
3646,3525,Working Girl,9.457,1988-12-20,6.5,411
3647,9445,Apt Pupil,9.198,1998-10-23,6.5,253
3648,1870,Fantomas Unleashed,7.962,1965-12-07,6.5,199
3649,5718,King of California,5.375,2007-01-24,6.5,156
3650,13804,Fast & Furious,1.811,2009-04-02,6.5,3724
3651,1788,Footloose,7.437,1984-02-17,6.5,906
3652,668,On Her Majesty's Secret Service,17.885,1969-12-12,6.5,770
3653,10010,Brother Bear 2,9.418,2006-08-17,6.5,663
3654,60175,The Under-Gifted,4.45,1980-04-30,6.5,193
3655,9588,Quigley Down Under,12.123,1990-10-17,6.5,159
3656,345009,Mine,7.705,2016-10-06,6.5,696
3657,13250,Butterfly on a Wheel,7.404,2007-07-27,6.5,230
3658,5951,The Jane Austen Book Club,7.783,2007-09-09,6.5,207
3659,27936,Micmacs,7.424,2009-10-28,6.5,260
3660,401469,Widows,29.52,2018-11-06,6.5,760
3661,11412,The Long Kiss Goodnight,12.073,1996-10-11,6.5,511
3662,231576,Wish I Was Here,6.74,2014-01-18,6.5,426
3663,31007,Welcome to the Rileys,6.721,2010-10-29,6.5,233
3664,12133,Step Brothers,12.176,2008-02-05,6.5,1668
3665,11283,Nanny McPhee,12.292,2005-10-21,6.5,1606
3666,12184,The Other Boleyn Girl,10.119,2008-02-28,6.5,951
3667,334522,Alone in Berlin,10.247,2016-02-15,6.5,189
3668,11592,Serial Mom,5.949,1994-04-13,6.5,243
3669,7191,Cloverfield,14.817,2008-01-15,6.5,3937
3670,44129,The Company Men,7.854,2010-10-21,6.5,336
3671,334878,Blind Date,4.638,2015-05-06,6.5,301
3672,2330,Taxi,11.663,1998-04-04,6.5,1158
3673,512,Scoop,7.748,2006-07-27,6.5,739
3674,392142,Max & Leon,5.195,2016-11-01,6.5,417
3675,9909,Dangerous Minds,5.708,1995-08-11,6.5,409
3676,339408,The Birth of a Nation,6.095,2016-09-09,6.5,316
3677,413644,The Son of Bigfoot,8.717,2017-07-27,6.5,151
3678,10731,The Client,8.481,1994-07-20,6.5,492
3679,1988,A Mighty Heart,6.124,2007-01-01,6.5,169
3680,10126,Colors,7.691,1988-04-15,6.5,166
3681,10934,Under the Tuscan Sun,6.991,2003-04-30,6.5,313
3682,9843,Big Nothing,6.509,2006-12-01,6.5,188
3683,450465,Glass,83.558,2019-01-16,6.5,1788
3684,157849,A Most Wanted Man,10.435,2014-07-25,6.5,759
3685,352161,The Clan,5.296,2015-08-13,6.5,192
3686,10961,Behind the Mask: The Rise of Leslie Vernon,6.042,2006-10-13,6.5,174
3687,9614,Happy Gilmore,11.907,1996-02-16,6.5,1255
3688,20,My Life Without Me,9.236,2003-03-07,6.5,169
3689,21861,LOL (Laughing Out Loud),6.647,2008-06-06,6.5,741
3690,10328,Cocoon,8.165,1985-06-21,6.5,547
3691,2023,Hidalgo,9.666,2004-03-05,6.5,515
3692,1710,Copycat,7.626,1995-10-27,6.5,389
3693,8328,Step Up 2: The Streets,14.601,2008-02-14,6.5,1253
